"SGG_NM","BJDONG_NM","AVG(RENT_GTN)"
"송파구","가락동",25133
"구로구","가리봉동",19850
"금천구","가산동",19566.6666666666666666666666666666666667
"강서구","가양동",20333.3333333333333333333333333333333333
"용산구","갈월동",40000
"은평구","갈현동",18765.8823529411764705882352941176470588
"구로구","개봉동",17324.7619047619047619047619047619047619
"강남구","개포동",29636.3636363636363636363636363636363636
"송파구","거여동",23136.3636363636363636363636363636363636
"강동구","고덕동",26477.2727272727272727272727272727272727
"구로구","고척동",16000
"마포구","공덕동",18280
"노원구","공릉동",11404.75
"강서구","공항동",16071.3636363636363636363636363636363636
"광진구","광장동",44400
"종로구","구기동",38750
"구로구","구로동",14023.0769230769230769230769230769230769
"은평구","구산동",17300
"마포구","구수동",27225
"광진구","구의동",24931.1111111111111111111111111111111111
"광진구","군자동",23443.3333333333333333333333333333333333
"구로구","궁동",21112.5
"성동구","금호동3가",14466.6666666666666666666666666666666667
"강동구","길동",23703.8461538461538461538461538461538462
"성북구","길음동",7500
"서대문구","남가좌동",14500
"중구","남산동2가",24000
"관악구","남현동",22416.6666666666666666666666666666666667
"서초구","내곡동",47000
"강서구","내발산동",21741.1764705882352941176470588235294118
"마포구","노고산동",16323.0769230769230769230769230769230769
"동작구","노량진동",9500
"은평구","녹번동",17090
"강남구","논현동",28343.75
"종로구","누상동",20550
"광진구","능동",26465
"동대문구","답십리동",22033.3333333333333333333333333333333333
"영등포구","당산동",23000
"영등포구","당산동1가",25572.2222222222222222222222222222222222
"영등포구","당산동3가",25350
"영등포구","당산동4가",26000
"영등포구","당산동6가",17875
"마포구","당인동",42500
"영등포구","대림동",16200
"동작구","대방동",23150
"은평구","대조동",16139.2857142857142857142857142857142857
"강남구","대치동",26769.4444444444444444444444444444444444
"마포구","대흥동",17800
"강남구","도곡동",26680
"영등포구","도림동",21285.7142857142857142857142857142857143
"도봉구","도봉동",15197.5
"성동구","도선동",32000
"금천구","독산동",19473.7931034482758620689655172413793103
"성북구","돈암동",21100
"마포구","동교동",22500
"용산구","동빙고동",33500
"성북구","동선동3가",13500
"성북구","동선동4가",10000
"성북구","동선동5가",29500
"성북구","동소문동6가",21600
"종로구","동숭동",11000
"용산구","동자동",12000
"강동구","둔촌동",27317.6470588235294117647058823529411765
"강서구","등촌동",21458.0909090909090909090909090909090909
"강서구","마곡동",23500
"성동구","마장동",23812.5
"송파구","마천동",19243.0526315789473684210526315789473684
"중랑구","망우동",19890.9090909090909090909090909090909091
"마포구","망원동",25194.5454545454545454545454545454545455
"중랑구","면목동",22993.8333333333333333333333333333333333
"강동구","명일동",22511.6666666666666666666666666666666667
"양천구","목동",19054.0625
"중랑구","묵동",19504
"송파구","문정동",25716.7777777777777777777777777777777778
"강북구","미아동",15434.9354838709677419354838709677419355
"서초구","반포동",25809.1666666666666666666666666666666667
"서초구","방배동",33577.5849056603773584905660377358490566
"송파구","방이동",25807.7391304347826086956521739130434783
"도봉구","방학동",13443.75
"강서구","방화동",19568.4782608695652173913043478260869565
"강북구","번동",11880
"용산구","보광동",24000
"성북구","보문동2가",11500
"성북구","보문동5가",23250
"동작구","본동",12000
"관악구","봉천동",23944.5238095238095238095238095238095238
"종로구","부암동",25500
"서대문구","북가좌동",19113.3333333333333333333333333333333333
"서대문구","북아현동",23000
"은평구","불광동",17444.2857142857142857142857142857142857
"성동구","사근동",17000
"동작구","사당동",23651.8181818181818181818181818181818182
"성북구","삼선동3가",25100
"성북구","삼선동5가",28000
"강남구","삼성동",25050
"송파구","삼전동",22925.5681818181818181818181818181818182
"노원구","상계동",13321.4285714285714285714285714285714286
"동작구","상도1동",26500
"동작구","상도동",20325
