"SGG_NM","BJDONG_NM","AVG(RENT_GTN)"
"구로구","가리봉동",7950
"금천구","가산동",17784.5454545454545454545454545454545455
"강서구","가양동",18960
"용산구","갈월동",20100
"강동구","강일동",10253
"송파구","거여동",24500
"종로구","경운동",18000
"구로구","고척동",12125
"마포구","공덕동",24757.1428571428571428571428571428571429
"강서구","공항동",20500
"광진구","광장동",45000
"종로구","교북동",36500
"구로구","구로동",14659.1666666666666666666666666666666667
"광진구","구의동",22633.3333333333333333333333333333333333
"광진구","군자동",19275
"강동구","길동",17892.3076923076923076923076923076923077
"관악구","남현동",8000
"종로구","내수동",30500
"마포구","노고산동",20000
"동작구","노량진동",20750
"은평구","녹번동",16800
"동대문구","답십리동",22500
"영등포구","당산동",19733.3333333333333333333333333333333333
"영등포구","당산동1가",25250
"영등포구","당산동2가",45000
"영등포구","당산동3가",28610
"영등포구","당산동5가",19350
"동작구","대방동",22600
"은평구","대조동",13966.6666666666666666666666666666666667
"강남구","대치동",17500
"서대문구","대현동",18925
"마포구","대흥동",18000
"강남구","도곡동",37500
"영등포구","도림동",32800
"도봉구","도봉동",17200
"성동구","도선동",25600
"마포구","도화동",20726.6
"금천구","독산동",20031.5
"강서구","등촌동",20891
"강서구","마곡동",17630.26
"마포구","마포동",10000
"중랑구","망우동",17714.2857142857142857142857142857142857
"중랑구","면목동",22000
"강동구","명일동",15750
"양천구","목동",31270.8333333333333333333333333333333333
"중구","묵정동",20000
"영등포구","문래동3가",30000
"영등포구","문래동5가",19500
"영등포구","문래동6가",35300
"용산구","문배동",36422.2222222222222222222222222222222222
"송파구","문정동",24645.9259259259259259259259259259259259
"서초구","방배동",34500
"송파구","방이동",23705.1153846153846153846153846153846154
"도봉구","방학동",13033.3333333333333333333333333333333333
"강서구","방화동",12500
"관악구","봉천동",17630.5555555555555555555555555555555556
"서대문구","북아현동",27250
"은평구","불광동",23050
"강남구","삼성동",29683.3333333333333333333333333333333333
"송파구","삼전동",24500
"노원구","상계동",17500
"중랑구","상봉동",20450
"마포구","상암동",14786.6666666666666666666666666666666667
"성동구","상왕십리동",15550
"마포구","서교동",20900
"서초구","서초동",23200
"송파구","석촌동",16000
"강동구","성내동",20000
"마포구","성산동",17250
"성동구","성수동1가",20000
"성동구","성수동2가",28000
"강남구","세곡동",27688.8888888888888888888888888888888889
"송파구","송파동",29000
"강남구","수서동",22000
"강북구","수유동",11000
"종로구","숭인동",18935.7142857142857142857142857142857143
"금천구","시흥동",15285
"마포구","신공덕동",14600
"영등포구","신길동",19344.4444444444444444444444444444444444
"중구","신당동",17230
"동작구","신대방동",23500
"구로구","신도림동",31775
"관악구","신림동",19018.75
"종로구","신문로2가",107000
"은평구","신사동",29100
"동대문구","신설동",16316.6666666666666666666666666666666667
"서초구","신원동",29540
"양천구","신월동",12500
"양천구","신정동",38025
"도봉구","쌍문동",5000
"마포구","아현동",28500
"서초구","양재동",17500
"영등포구","양평동1가",23600
"영등포구","양평동2가",22670
"영등포구","양평동3가",22387.5
"영등포구","양평동4가",26833.3333333333333333333333333333333333
"영등포구","양평동5가",26933.3333333333333333333333333333333333
"영등포구","양평동6가",22420
"영등포구","여의도동",29207.1428571428571428571428571428571429
"강남구","역삼동",24214.5
"은평구","역촌동",18416.6666666666666666666666666666666667
"서대문구","연희동",30370
"마포구","염리동",21500
"강서구","염창동",24488.8888888888888888888888888888888889
"영등포구","영등포동1가",19771.4285714285714285714285714285714286
"영등포구","영등포동2가",21077.7777777777777777777777777777777778
"영등포구","영등포동3가",18450
"영등포구","영등포동4가",27650
"영등포구","영등포동5가",23600
"영등포구","영등포동6가",19000
"영등포구","영등포동7가",17734.2727272727272727272727272727272727
"영등포구","영등포동8가",9500
"구로구","오류동",15462.5
"성동구","옥수동",15000
"성동구","용답동",16847.2222222222222222222222222222222222
"동대문구","용두동",19000
"서초구","우면동",18250
"용산구","원효로1가",25000
"용산구","원효로3가",18000
"중구","을지로4가",25056.5
"중구","을지로5가",30000
"은평구","응암동",18262.8571428571428571428571428571428571
"동대문구","이문동",15000
"강남구","자곡동",19880
"광진구","자양동",76125
"송파구","잠실동",23975
"동대문구","장안동",18925
"성북구","장위동",12000
"중구","저동2가",20470
"동대문구","전농동",14750
"동대문구","제기동",29000
"노원구","중계동",31500
"광진구","중곡동",17800
"중랑구","중화동",25150
"은평구","진관동",18307.1428571428571428571428571428571429
"도봉구","창동",19250
"서대문구","창천동",20000
"구로구","천왕동",10500
"강동구","천호동",17918.4615384615384615384615384615384615
"동대문구","청량리동",20666.6666666666666666666666666666666667
"용산구","청파동3가",19700
"중구","충무로2가",21000
"중구","충무로5가",18500
"성동구","하왕십리동",25000
"성북구","하월곡동",40000
"용산구","한강로2가",25500
"용산구","한강로3가",24500
"서대문구","합동",19000
"성동구","행당동",22250
"강서구","화곡동",20152.7777777777777777777777777777777778
"광진구","화양동",20421.1111111111111111111111111111111111
"중구","황학동",23551.625
"종로구","효제동",18000
"동대문구","휘경동",12075
"중구","흥인동",13600
