"SGG_NM","BJDONG_NM","AVG(RENT_FEE)"
"송파구","가락동",73.34351145038167938931297709923664122137
"금천구","가산동",51.08333333333333333333333333333333333333
"강서구","가양동",51.29032258064516129032258064516129032258
"강동구","강일동",26.62068965517241379310344827586206896552
"구로구","개봉동",67
"강남구","개포동",175.405940594059405940594059405940594059
"송파구","거여동",37.47272727272727272727272727272727272727
"강동구","고덕동",118.518518518518518518518518518518518519
"구로구","고척동",75.45454545454545454545454545454545454545
"마포구","공덕동",114.785714285714285714285714285714285714
"노원구","공릉동",60.96
"광진구","광장동",123.777777777777777777777777777777777778
"종로구","교북동",180
"구로구","구로동",60.27272727272727272727272727272727272727
"은평구","구산동",58.5
"광진구","구의동",115.333333333333333333333333333333333333
"성동구","금호동1가",158.416666666666666666666666666666666667
"성동구","금호동2가",207
"성동구","금호동3가",130.75
"성동구","금호동4가",165.454545454545454545454545454545454545
"강동구","길동",40.41666666666666666666666666666666666667
"성북구","길음동",80.375
"서대문구","남가좌동",105.095238095238095238095238095238095238
"관악구","남현동",95
"서초구","내곡동",150
"강서구","내발산동",88.63157894736842105263157894736842105263
"마포구","노고산동",91
"동작구","노량진동",104
"은평구","녹번동",94.28571428571428571428571428571428571429
"강남구","논현동",145.545454545454545454545454545454545455
"동대문구","답십리동",65.96153846153846153846153846153846153846
"영등포구","당산동",63.33333333333333333333333333333333333333
"영등포구","당산동1가",86.66666666666666666666666666666666666667
"영등포구","당산동2가",39.55555555555555555555555555555555555556
"영등포구","당산동3가",74
"영등포구","당산동4가",94
"영등포구","당산동5가",101
"영등포구","당산동6가",63
"영등포구","대림동",89.45454545454545454545454545454545454545
"동작구","대방동",85.9
"은평구","대조동",32.8
"강남구","대치동",164.194444444444444444444444444444444444
"서대문구","대현동",140
"마포구","대흥동",149.75
"강남구","도곡동",171.275862068965517241379310344827586207
"영등포구","도림동",92.4
"도봉구","도봉동",63.5
"용산구","도원동",150
"마포구","도화동",100.9
"금천구","독산동",69.82758620689655172413793103448275862069
"성북구","돈암동",89.92307692307692307692307692307692307692
"용산구","동빙고동",230
"성북구","동소문동6가",29
"성북구","동소문동7가",129.5
"용산구","동자동",75
"동작구","동작동",226.666666666666666666666666666666666667
"강동구","둔촌동",61.25
"강서구","등촌동",64.56521739130434782608695652173913043478
"강서구","마곡동",157.272727272727272727272727272727272727
"성동구","마장동",60.4
"송파구","마천동",21.26315789473684210526315789473684210526
"마포구","마포동",10
"중구","만리동2가",100
"중랑구","망우동",30.75
"마포구","망원동",151.75
"중랑구","면목동",88.04
"강동구","명일동",96
"양천구","목동",103.714285714285714285714285714285714286
"종로구","무악동",106
"중랑구","묵동",72.2
"영등포구","문래동2가",37.5
"영등포구","문래동3가",113.333333333333333333333333333333333333
"영등포구","문래동5가",60
"영등포구","문래동6가",69.2
"용산구","문배동",174
"송파구","문정동",86
"강북구","미아동",68
"서초구","반포동",292.590909090909090909090909090909090909
"서초구","방배동",122.44
"송파구","방이동",125.764705882352941176470588235294117647
"도봉구","방학동",70.75
"강서구","방화동",48.82857142857142857142857142857142857143
"강북구","번동",65
"성북구","보문동6가",94.33333333333333333333333333333333333333
"동작구","본동",104.166666666666666666666666666666666667
"관악구","봉천동",73.3015873015873015873015873015873015873
"서대문구","북가좌동",84
"서대문구","북아현동",143.933333333333333333333333333333333333
"은평구","불광동",75.8
"동작구","사당동",81.42857142857142857142857142857142857143
"종로구","사직동",204
"용산구","산천동",54
"성북구","삼선동2가",110
"성북구","삼선동3가",100
"성북구","삼선동4가",120
"강남구","삼성동",223.08
"노원구","상계동",64.18072289156626506024096385542168674699
"동작구","상도동",92.08571428571428571428571428571428571429
"중랑구","상봉동",47.4
"마포구","상수동",46
"마포구","상암동",113.421052631578947368421052631578947368
"성동구","상왕십리동",112
"강동구","상일동",82.28571428571428571428571428571428571429
"마포구","서교동",71.25
"용산구","서빙고동",199.75
"서초구","서초동",174.73469387755102040816326530612244898
"성북구","석관동",124.285714285714285714285714285714285714
"송파구","석촌동",181.75
"강동구","성내동",73.875
"마포구","성산동",65.94117647058823529411764705882352941176
"성동구","성수동1가",292.5
"성동구","성수동2가",106.666666666666666666666666666666666667
"강남구","세곡동",79.1
"송파구","송파동",108.857142857142857142857142857142857143
"은평구","수색동",65.88888888888888888888888888888888888889
