"SGG_NM","BJDONG_NM","AVG(RENT_FEE)"
"송파구","가락동",36.5
"구로구","가리봉동",60
"금천구","가산동",53.53846153846153846153846153846153846154
"강서구","가양동",45.09090909090909090909090909090909090909
"강동구","강일동",51.875
"구로구","개봉동",57
"강남구","개포동",78.5
"송파구","거여동",29
"강동구","고덕동",58
"구로구","고척동",35
"마포구","공덕동",35.8
"강서구","공항동",45
"종로구","교북동",110
"구로구","구로동",48.71052631578947368421052631578947368421
"은평구","구산동",110
"광진구","구의동",68.81818181818181818181818181818181818182
"광진구","군자동",68.5
"강동구","길동",73.46666666666666666666666666666666666667
"관악구","남현동",35.8
"강서구","내발산동",64
"종로구","내수동",80
"마포구","노고산동",66.16666666666666666666666666666666666667
"동작구","노량진동",61.25
"은평구","녹번동",53
"강남구","논현동",160
"광진구","능동",85
"동대문구","답십리동",62.30769230769230769230769230769230769231
"영등포구","당산동",42.16666666666666666666666666666666666667
"영등포구","당산동1가",60
"영등포구","당산동3가",88
"영등포구","당산동4가",46
"영등포구","당산동5가",86.66666666666666666666666666666666666667
"영등포구","당산동6가",21
"영등포구","대림동",30
"동작구","대방동",30
"은평구","대조동",35
"강남구","대치동",71
"서대문구","대현동",75.125
"마포구","대흥동",100
"강남구","도곡동",300
"영등포구","도림동",78.07692307692307692307692307692307692308
"도봉구","도봉동",55.4
"성동구","도선동",70.75
"마포구","도화동",108.2
"금천구","독산동",50.625
"성북구","동선동4가",70
"성북구","동소문동6가",15
"용산구","동자동",105
"강서구","등촌동",53.57142857142857142857142857142857142857
"강서구","마곡동",59.02105263157894736842105263157894736842
"중랑구","망우동",57.5
"중랑구","면목동",127.5
"강동구","명일동",57.6
"양천구","목동",115.166666666666666666666666666666666667
"중구","묵정동",77
"영등포구","문래동3가",80
"영등포구","문래동5가",20.25
"영등포구","문래동6가",81
"용산구","문배동",113
"송파구","문정동",83.63235294117647058823529411764705882353
"서대문구","미근동",30
"강북구","미아동",123
"서초구","방배동",152.5
"송파구","방이동",86.35714285714285714285714285714285714286
"도봉구","방학동",54.83333333333333333333333333333333333333
"강서구","방화동",36.23809523809523809523809523809523809524
"강북구","번동",51.66666666666666666666666666666666666667
"관악구","봉천동",37.11428571428571428571428571428571428571
"서대문구","북아현동",110
"동작구","사당동",28.5
"성북구","삼선동4가",44
"강남구","삼성동",102
"노원구","상계동",62.2
"동작구","상도1동",65
"동작구","상도동",50
"중랑구","상봉동",78.75
"마포구","상수동",24.5
"마포구","상암동",68.57142857142857142857142857142857142857
"마포구","서교동",62.5
"서초구","서초동",71.59259259259259259259259259259259259259
"성북구","석관동",18.5
"송파구","석촌동",82.25
"강동구","성내동",78.33333333333333333333333333333333333333
"마포구","성산동",57.03846153846153846153846153846153846154
"성동구","성수동1가",72.5
"성동구","성수동2가",58.75
"강남구","세곡동",140
"강북구","수유동",66.33333333333333333333333333333333333333
"중구","순화동",110
"종로구","숭인동",55.875
"금천구","시흥동",45.5
"마포구","신공덕동",65
"영등포구","신길동",51.75
"중랑구","신내동",48.33333333333333333333333333333333333333
"중구","신당동",74
"동작구","신대방동",88.33333333333333333333333333333333333333
"구로구","신도림동",63.42857142857142857142857142857142857143
"관악구","신림동",50.9
"강남구","신사동",210
"은평구","신사동",58
"동대문구","신설동",65.5
"서초구","신원동",86
"양천구","신월동",35
"양천구","신정동",69.66666666666666666666666666666666666667
"마포구","아현동",48
"강동구","암사동",58
"서초구","양재동",47.5
"영등포구","양평동1가",25
"영등포구","양평동2가",24.33333333333333333333333333333333333333
"영등포구","양평동3가",51.66666666666666666666666666666666666667
"영등포구","양평동4가",110
"영등포구","양평동5가",39.75
"영등포구","양평동6가",125
"영등포구","여의도동",105.777777777777777777777777777777777778
"강남구","역삼동",72.64285714285714285714285714285714285714
"은평구","역촌동",71.5
"종로구","연건동",65
"서대문구","연희동",55.75
"마포구","염리동",79.66666666666666666666666666666666666667
"강서구","염창동",50.5
"영등포구","영등포동",10
"영등포구","영등포동1가",35.35714285714285714285714285714285714286
"영등포구","영등포동2가",27.75
"영등포구","영등포동3가",65
"영등포구","영등포동4가",53.83333333333333333333333333333333333333
"영등포구","영등포동5가",110
"영등포구","영등포동6가",45.5
"영등포구","영등포동7가",41.26666666666666666666666666666666666667
"영등포구","영등포동8가",41.5
"구로구","오류동",43
"중구","오장동",65
"성동구","용답동",83
"동대문구","용두동",60
"서초구","우면동",55
"용산구","원효로1가",89
"용산구","원효로2가",105
"중구","을지로5가",160
"은평구","응암동",42.5
"동대문구","이문동",55
"종로구","익선동",8
"강남구","자곡동",64.33333333333333333333333333333333333333
"광진구","자양동",84.25
"송파구","잠실동",76
"동대문구","장안동",43.3125
"중구","저동2가",86
"동대문구","전농동",58.6
"성북구","정릉동",100
"노원구","중계동",52
"광진구","중곡동",51
"중랑구","중화동",70
"은평구","진관동",49.74074074074074074074074074074074074074
"도봉구","창동",67.55555555555555555555555555555555555556
"서대문구","창천동",98.33333333333333333333333333333333333333
"강동구","천호동",53.52173913043478260869565217391304347826
"동대문구","청량리동",98.84615384615384615384615384615384615385
"중구","충무로3가",90
"서대문구","충정로2가",11
"성동구","하왕십리동",63
"용산구","한강로2가",71
"서대문구","합동",75
"마포구","합정동",46.5
"성동구","행당동",63
"서대문구","홍제동",80
"강서구","화곡동",57.51515151515151515151515151515151515152
"광진구","화양동",53.9375
"중구","황학동",41.75
"동대문구","휘경동",81
"중구","흥인동",13
