"SGG_NM","BJDONG_NM","AVG(OBJ_AMT)"
"송파구","가락동",139828.0769230769230769230769230769230769
"구로구","가리봉동",49500
"금천구","가산동",30803.5714285714285714285714285714285714
"강서구","가양동",65624
"은평구","갈현동",40114.2857142857142857142857142857142857
"강동구","강일동",74814.2857142857142857142857142857142857
"구로구","개봉동",63878.8461538461538461538461538461538462
"강남구","개포동",181384.5671641791044776119402985074626866
"송파구","거여동",94233.3333333333333333333333333333333333
"강동구","고덕동",122377.7777777777777777777777777777777778
"구로구","고척동",61784.2424242424242424242424242424242424
"마포구","공덕동",125843.75
"노원구","공릉동",53212.1428571428571428571428571428571429
"광진구","광장동",125982.9268292682926829268292682926829268
"구로구","구로동",53521.2121212121212121212121212121212121
"은평구","구산동",47087.5
"광진구","구의동",108700
"광진구","군자동",114500
"성동구","금호동1가",116600
"성동구","금호동2가",124452.6315789473684210526315789473684211
"성동구","금호동3가",98666.6666666666666666666666666666666667
"성동구","금호동4가",125250
"강동구","길동",59995.3488372093023255813953488372093023
"성북구","길음동",84574.1935483870967741935483870967741935
"서대문구","남가좌동",90838.3333333333333333333333333333333333
"관악구","남현동",63250
"서초구","내곡동",139500
"강서구","내발산동",85621.9512195121951219512195121951219512
"종로구","내수동",189500
"서대문구","냉천동",104000
"마포구","노고산동",27860
"동작구","노량진동",79528.5714285714285714285714285714285714
"은평구","녹번동",89027.1428571428571428571428571428571429
"강남구","논현동",108686.6666666666666666666666666666666667
"동대문구","답십리동",68936.2222222222222222222222222222222222
"영등포구","당산동",88616.6666666666666666666666666666666667
"영등포구","당산동2가",81342.8571428571428571428571428571428571
"영등포구","당산동3가",72300
"영등포구","당산동4가",100350.6521739130434782608695652173913043
"영등포구","당산동5가",127684.2105263157894736842105263157894737
"영등포구","대림동",63382
"동작구","대방동",70616.6666666666666666666666666666666667
"은평구","대조동",28219.2307692307692307692307692307692308
"강남구","대치동",249606.3291139240506329113924050632911392
"서대문구","대현동",49636.3636363636363636363636363636363636
"마포구","대흥동",120586.2068965517241379310344827586206897
"강남구","도곡동",225656.5217391304347826086956521739130435
"영등포구","도림동",98163.6363636363636363636363636363636364
"도봉구","도봉동",46006.4545454545454545454545454545454545
"성동구","도선동",90000
"용산구","도원동",102100
"마포구","도화동",96136.8421052631578947368421052631578947
"금천구","독산동",75386
"성북구","돈암동",67780.2631578947368421052631578947368421
"마포구","동교동",95000
"성북구","동소문동4가",50850
"성북구","동소문동7가",47000
"종로구","동숭동",41000
"용산구","동자동",168000
"동작구","동작동",134115.3846153846153846153846153846153846
"강동구","둔촌동",85122.5238095238095238095238095238095238
"강서구","등촌동",68191.2280701754385964912280701754385965
"강서구","마곡동",108876.3157894736842105263157894736842105
"성동구","마장동",72114.2857142857142857142857142857142857
"송파구","마천동",72500
"마포구","마포동",89500
"중구","만리동2가",144800
"중랑구","망우동",37455.5555555555555555555555555555555556
"마포구","망원동",71587.5
"중랑구","면목동",75798.8095238095238095238095238095238095
"종로구","명륜1가",34900
"강동구","명일동",99933.0508474576271186440677966101694915
"양천구","목동",139213.4146341463414634146341463414634146
"종로구","무악동",106160
"중랑구","묵동",59895.1612903225806451612903225806451613
"영등포구","문래동3가",109436.1111111111111111111111111111111111
"영등포구","문래동5가",73572.7272727272727272727272727272727273
"영등포구","문래동6가",65218.75
"용산구","문배동",16100
"송파구","문정동",139091.6666666666666666666666666666666667
"강북구","미아동",65880.4305555555555555555555555555555556
"서초구","반포동",315305.3333333333333333333333333333333333
"서초구","방배동",187459.6774193548387096774193548387096774
"송파구","방이동",163764.2857142857142857142857142857142857
"도봉구","방학동",47898.9130434782608695652173913043478261
"강서구","방화동",58266.4285714285714285714285714285714286
"강북구","번동",49485.1351351351351351351351351351351351
"용산구","보광동",143000
"성북구","보문동3가",76650
"성북구","보문동4가",72500
"성북구","보문동6가",80521.4285714285714285714285714285714286
"동작구","본동",102845
"관악구","봉천동",72106.0576923076923076923076923076923077
"서대문구","북가좌동",84392
"서대문구","북아현동",112832.2580645161290322580645161290322581
"은평구","불광동",76511.1111111111111111111111111111111111
"성동구","사근동",16500
"동작구","사당동",87194.2622950819672131147540983606557377
"종로구","사직동",157000
"용산구","산천동",111357.1428571428571428571428571428571429
"성북구","삼선동2가",77133.3333333333333333333333333333333333
"성북구","삼선동3가",94000
"성북구","삼선동4가",62000
"강남구","삼성동",230860
"송파구","삼전동",86000
"노원구","상계동",54963.3333333333333333333333333333333333
"동작구","상도동",96392.8571428571428571428571428571428571
"중랑구","상봉동",62055.5555555555555555555555555555555556
"마포구","상수동",129176.9230769230769230769230769230769231
"마포구","상암동",88804.3478260869565217391304347826086957
"성동구","상왕십리동",130363.6363636363636363636363636363636364
"성북구","상월곡동",58136.6666666666666666666666666666666667
"강동구","상일동",113240.3125
"마포구","서교동",76000
"용산구","서빙고동",311000
"서초구","서초동",173022.8541666666666666666666666666666667
"성북구","석관동",70793.1818181818181818181818181818181818
"송파구","석촌동",62611.1111111111111111111111111111111111
"강동구","성내동",66234.9285714285714285714285714285714286
"마포구","성산동",86568.9655172413793103448275862068965517
"성동구","성수동1가",211931.8181818181818181818181818181818182
"성동구","성수동2가",131083.3333333333333333333333333333333333
"강남구","세곡동",125937.5
"송파구","송파동",138463.6363636363636363636363636363636364
"은평구","수색동",81063.9393939393939393939393939393939394
"강남구","수서동",127640
"강북구","수유동",40435.7142857142857142857142857142857143
"중구","순화동",98071.4285714285714285714285714285714286
"종로구","숭인동",19300
"금천구","시흥동",57791.4634146341463414634146341463414634
"용산구","신계동",237000
"마포구","신공덕동",110726.6666666666666666666666666666666667
"영등포구","신길동",90943.3
"중랑구","신내동",54573.75
"중구","신당동",91287.1428571428571428571428571428571429
"동작구","신대방동",89940.9090909090909090909090909090909091
"구로구","신도림동",95423.0769230769230769230769230769230769
"관악구","신림동",60644.3181818181818181818181818181818182
"종로구","신문로2가",285000
"강남구","신사동",420000
"은평구","신사동",51678.5714285714285714285714285714285714
"동대문구","신설동",38100
"마포구","신수동",118797.3684210526315789473684210526315789
"서초구","신원동",137750
"양천구","신월동",71741.4285714285714285714285714285714286
"마포구","신정동",103166.6666666666666666666666666666666667
"양천구","신정동",110241.4285714285714285714285714285714286
"송파구","신천동",171532.8571428571428571428571428571428571
"도봉구","쌍문동",40768.6046511627906976744186046511627907
"마포구","아현동",140816.6666666666666666666666666666666667
"성북구","안암동5가",11300
"강동구","암사동",96827.0833333333333333333333333333333333
"강남구","압구정동",437351.8518518518518518518518518518518519
"서초구","양재동",91628.5714285714285714285714285714285714
"영등포구","양평동1가",64000
"영등포구","양평동2가",63500
"영등포구","양평동3가",81618.1818181818181818181818181818181818
"영등포구","양평동4가",62000
"영등포구","양평동5가",76722.2222222222222222222222222222222222
"영등포구","양평동6가",63333.3333333333333333333333333333333333
"영등포구","여의도동",197672.4324324324324324324324324324324324
"강남구","역삼동",157489.8245614035087719298245614035087719
"은평구","역촌동",51240
"종로구","연건동",18800
"마포구","연남동",77900
"종로구","연지동",38000
"서대문구","연희동",49663.5294117647058823529411764705882353
"마포구","염리동",118016.6666666666666666666666666666666667
"강서구","염창동",80673.0769230769230769230769230769230769
"영등포구","영등포동",86292.3333333333333333333333333333333333
"영등포구","영등포동1가",16815
"영등포구","영등포동2가",43742.5
"영등포구","영등포동3가",10325
"영등포구","영등포동4가",12766.6666666666666666666666666666666667
"영등포구","영등포동7가",116056.25
"영등포구","영등포동8가",95375
"송파구","오금동",107010.9375
"구로구","오류동",39517.8571428571428571428571428571428571
"중구","오장동",41900
"성동구","옥수동",140328.9473684210526315789473684210526316
"구로구","온수동",52860
"마포구","용강동",156000
"성동구","용답동",53200
"동대문구","용두동",89051.7105263157894736842105263157894737
"용산구","용산동2가",39600
"용산구","용산동5가",278333.3333333333333333333333333333333333
"서초구","우면동",121300
"강북구","우이동",58966.6666666666666666666666666666666667
"용산구","원효로1가",49500
"용산구","원효로4가",123833.3333333333333333333333333333333333
"노원구","월계동",64016.1016949152542372881355932203389831
"강남구","율현동",105000
"성동구","응봉동",101253.6363636363636363636363636363636364
"은평구","응암동",77509.6842105263157894736842105263157895
"동대문구","이문동",63279.0322580645161290322580645161290323
"용산구","이촌동",200960.4210526315789473684210526315789474
"용산구","이태원동",202000
"종로구","익선동",38100
"종로구","인의동",87500
"중구","인현동2가",46728.6666666666666666666666666666666667
"강남구","일원동",175790
"중구","입정동",76655.3888888888888888888888888888888889
"강남구","자곡동",141653.8461538461538461538461538461538462
"광진구","자양동",123403.64
"송파구","잠실동",206126.8686868686868686868686868686868687
"서초구","잠원동",231438.5714285714285714285714285714285714
"동대문구","장안동",68950
"성북구","장위동",77543.0185185185185185185185185185185185
"송파구","장지동",109741.7910447761194029850746268656716418
"중구","장충동1가",313800
"동대문구","전농동",101918.4426229508196721311475409836065574
"중구","정동",41633.3333333333333333333333333333333333
"성북구","정릉동",56878.3018867924528301886792452830188679
"동대문구","제기동",61218.1818181818181818181818181818181818
"성북구","종암동",78142.6470588235294117647058823529411765
"노원구","중계동",65821.7592592592592592592592592592592593
"광진구","중곡동",50250
"마포구","중동",75970
"중구","중림동",145250
"중랑구","중화동",52688.4615384615384615384615384615384615
"은평구","증산동",52793.75
"은평구","진관동",84007.9545454545454545454545454545454545
"도봉구","창동",55430.5882352941176470588235294117647059
"종로구","창신동",53200
"마포구","창전동",104511.9047619047619047619047619047619048
"서대문구","창천동",44666.6666666666666666666666666666666667
"서대문구","천연동",67816.6666666666666666666666666666666667
"구로구","천왕동",69583.3333333333333333333333333333333333
"강동구","천호동",79503.4523809523809523809523809523809524
"강남구","청담동",364555.5555555555555555555555555555555556
"동대문구","청량리동",83200
"성북구","청량리동",69000
"용산구","청암동",300000
"중구","충무로4가",78850
"중구","충무로5가",21500
"서대문구","충정로2가",71900
"서대문구","충정로3가",75010
"마포구","토정동",120450
"종로구","평동",172636.3636363636363636363636363636363636
"종로구","평창동",65000
"송파구","풍납동",89094.1176470588235294117647058823529412
"노원구","하계동",57427.0833333333333333333333333333333333
"성동구","하왕십리동",106366.2790697674418604651162790697674419
"성북구","하월곡동",68047.0588235294117647058823529411764706
"마포구","하중동",206125
"용산구","한강로1가",120000
"용산구","한강로2가",101000
"용산구","한강로3가",211266.6666666666666666666666666666666667
"용산구","한남동",367642.8571428571428571428571428571428571
"마포구","합정동",158360
"구로구","항동",72428.5714285714285714285714285714285714
"성동구","행당동",108420.7792207792207792207792207792207792
"마포구","현석동",127500
"서대문구","현저동",62400
"서대문구","홍은동",65212.2448979591836734693877551020408163
"서대문구","홍제동",71725.2083333333333333333333333333333333
"종로구","홍파동",176308.3333333333333333333333333333333333
"강서구","화곡동",75073.5294117647058823529411764705882353
"광진구","화양동",22655.5555555555555555555555555555555556
"중구","황학동",78090.4761904761904761904761904761904762
"동대문구","회기동",33287.5
"중구","회현동1가",141460
"종로구","효제동",17000
"용산구","효창동",122071.4285714285714285714285714285714286
"용산구","후암동",95533.3333333333333333333333333333333333
"동대문구","휘경동",69337.5
"동작구","흑석동",133207.8125
"중구","흥인동",64350
