"SGG_NM","BJDONG_NM","AVG(RENT_GTN)"
"송파구","가락동",58066.7441860465116279069767441860465116
"금천구","가산동",26750
"강서구","가양동",40325
"은평구","갈현동",31725
"강동구","강일동",23493.9375
"구로구","개봉동",39309.9090909090909090909090909090909091
"강남구","개포동",90406.382978723404255319148936170212766
"송파구","거여동",34939.1785714285714285714285714285714286
"강동구","고덕동",63361.9285714285714285714285714285714286
"구로구","고척동",29882.6086956521739130434782608695652174
"마포구","공덕동",63781.625
"노원구","공릉동",31672.7272727272727272727272727272727273
"강서구","공항동",29666.6666666666666666666666666666666667
"광진구","광장동",58365.2380952380952380952380952380952381
"종로구","교북동",53500
"구로구","구로동",32804.8214285714285714285714285714285714
"은평구","구산동",29333.3333333333333333333333333333333333
"광진구","구의동",62104.7619047619047619047619047619047619
"광진구","군자동",55000
"성동구","금호동1가",69481.25
"성동구","금호동2가",77120
"성동구","금호동3가",42749.25
"성동구","금호동4가",75375
"강동구","길동",33274.3478260869565217391304347826086957
"성북구","길음동",48195.0344827586206896551724137931034483
"서대문구","남가좌동",46320
"중구","남대문로5가",92000
"관악구","남현동",35000
"서초구","내곡동",59706
"강서구","내발산동",38010.4285714285714285714285714285714286
"서대문구","냉천동",54000
"마포구","노고산동",25000
"동작구","노량진동",47333.3333333333333333333333333333333333
"은평구","녹번동",46853.8461538461538461538461538461538462
"강남구","논현동",61177.2727272727272727272727272727272727
"동대문구","답십리동",43969.4285714285714285714285714285714286
"영등포구","당산동",56558.6
"영등포구","당산동1가",41425
"영등포구","당산동2가",57000
"영등포구","당산동3가",49733.3333333333333333333333333333333333
"영등포구","당산동4가",64016.6666666666666666666666666666666667
"영등포구","당산동5가",65910
"영등포구","대림동",38656.25
"동작구","대방동",50100
"은평구","대조동",21937.5
"강남구","대치동",112919.5952380952380952380952380952380952
"서대문구","대현동",46666.6666666666666666666666666666666667
"마포구","대흥동",68312.25
"강남구","도곡동",105436.6111111111111111111111111111111111
"영등포구","도림동",47811.5
"도봉구","도봉동",26571.4285714285714285714285714285714286
"성동구","도선동",52500
"용산구","도원동",45000
"마포구","도화동",58089.2857142857142857142857142857142857
"금천구","독산동",37174.7777777777777777777777777777777778
"성북구","돈암동",41305.12
"용산구","동빙고동",102300
"성북구","동선동3가",26400
"성북구","동소문동7가",40000
"동작구","동작동",79666.6666666666666666666666666666666667
"강동구","둔촌동",44041.3333333333333333333333333333333333
"강서구","등촌동",35841.25
"강서구","마곡동",50977
"성동구","마장동",33300
"송파구","마천동",30541.0833333333333333333333333333333333
"마포구","마포동",40500
"중구","만리동1가",73000
"중구","만리동2가",68750
"중랑구","망우동",28614.2857142857142857142857142857142857
"마포구","망원동",43022.2727272727272727272727272727272727
"중랑구","면목동",36397.7272727272727272727272727272727273
"종로구","명륜2가",60000
"강동구","명일동",42844.5652173913043478260869565217391304
"양천구","목동",66421.09375
"종로구","무악동",58800
"중랑구","묵동",41834.2105263157894736842105263157894737
"영등포구","문래동3가",65368.75
"영등포구","문래동4가",45000
"영등포구","문래동5가",44095
"영등포구","문래동6가",39833.3333333333333333333333333333333333
"용산구","문배동",55526.7857142857142857142857142857142857
"송파구","문정동",61822.8571428571428571428571428571428571
"강북구","미아동",35336.8571428571428571428571428571428571
"서초구","반포동",121108.6470588235294117647058823529411765
"서초구","방배동",93303.2258064516129032258064516129032258
"송파구","방이동",66470.5882352941176470588235294117647059
"도봉구","방학동",27939.65
"강서구","방화동",29652.2142857142857142857142857142857143
"강북구","번동",26503.2142857142857142857142857142857143
"용산구","보광동",45000
"성북구","보문동3가",52000
"성북구","보문동6가",46666.6666666666666666666666666666666667
"동작구","본동",54346.1538461538461538461538461538461538
"관악구","봉천동",45579.2857142857142857142857142857142857
"서대문구","북가좌동",43500
"서대문구","북아현동",62698.4545454545454545454545454545454545
"은평구","불광동",37346.1538461538461538461538461538461538
"동작구","사당동",50989.3939393939393939393939393939393939
"용산구","산천동",46833.3333333333333333333333333333333333
"성북구","삼선동2가",47000
"성북구","삼선동3가",35260
"성북구","삼선동4가",39500
"강남구","삼성동",90975.875
"송파구","삼전동",47000
"노원구","상계동",29491.5161290322580645161290322580645161
"동작구","상도동",59369.4594594594594594594594594594594595
"중랑구","상봉동",30026.6666666666666666666666666666666667
"마포구","상수동",65750
"마포구","상암동",46238.8571428571428571428571428571428571
"성동구","상왕십리동",67500
"성북구","상월곡동",20000
"강동구","상일동",47113.6111111111111111111111111111111111
"마포구","서교동",53000
"용산구","서빙고동",47000
"서초구","서초동",82481.0983606557377049180327868852459016
"성북구","석관동",45400
"송파구","석촌동",50000
"강동구","성내동",37780
"마포구","성산동",43075
"성동구","성수동1가",89168.75
"성동구","성수동2가",58666.6666666666666666666666666666666667
"강남구","세곡동",45728.8333333333333333333333333333333333
"성동구","송정동",31812.8
"송파구","송파동",59950.7058823529411764705882352941176471
"은평구","수색동",39571.4285714285714285714285714285714286
"강남구","수서동",54736.8421052631578947368421052631578947
"강북구","수유동",25900
"중구","순화동",57000
"종로구","숭인동",9500
"금천구","시흥동",28903.4482758620689655172413793103448276
"용산구","신계동",69950
"마포구","신공덕동",63555.5555555555555555555555555555555556
"영등포구","신길동",44624.6071428571428571428571428571428571
"중랑구","신내동",29813.9333333333333333333333333333333333
"중구","신당동",45619.2380952380952380952380952380952381
"동작구","신대방동",46460.2105263157894736842105263157894737
"구로구","신도림동",42380.5555555555555555555555555555555556
"관악구","신림동",31186.9230769230769230769230769230769231
"강남구","신사동",35475
"은평구","신사동",33387
"마포구","신수동",55440
"서초구","신원동",70148.4444444444444444444444444444444444
"양천구","신월동",29749.0689655172413793103448275862068966
"마포구","신정동",62500
"양천구","신정동",45397
"송파구","신천동",79631.5789473684210526315789473684210526
"도봉구","쌍문동",24593.1818181818181818181818181818181818
"마포구","아현동",72041.1538461538461538461538461538461538
"성북구","안암동1가",43625
"성북구","안암동3가",13500
"강동구","암사동",54886.3636363636363636363636363636363636
"강남구","압구정동",88000.7777777777777777777777777777777778
"서초구","양재동",43333.3333333333333333333333333333333333
"영등포구","양평동1가",45428.5714285714285714285714285714285714
"영등포구","양평동2가",37200
"영등포구","양평동3가",46000
"영등포구","양평동4가",41183.3333333333333333333333333333333333
"영등포구","양평동5가",44500
"영등포구","양평동6가",36992.5
"영등포구","여의도동",62874.0740740740740740740740740740740741
"강남구","역삼동",85209.2121212121212121212121212121212121
"은평구","역촌동",43000
"마포구","연남동",55000
"서대문구","연희동",44178.5714285714285714285714285714285714
"마포구","염리동",80593.75
"강서구","염창동",44339.0625
"영등포구","영등포동",47128.5714285714285714285714285714285714
"영등포구","영등포동1가",30400
"영등포구","영등포동2가",26273.5
"영등포구","영등포동4가",13000
"영등포구","영등포동7가",62750
"영등포구","영등포동8가",54666.6666666666666666666666666666666667
"서대문구","영천동",49150
"송파구","오금동",53012.5
"구로구","오류동",29978.5714285714285714285714285714285714
"성동구","옥수동",65306.2727272727272727272727272727272727
"구로구","온수동",36500
"마포구","용강동",65524.5
"동대문구","용두동",37250
"용산구","용산동5가",120700
"서초구","우면동",56913.9230769230769230769230769230769231
"강북구","우이동",23450
"용산구","원효로1가",56271.4285714285714285714285714285714286
"용산구","원효로3가",30000
"용산구","원효로4가",33300
"노원구","월계동",27311.7647058823529411764705882352941176
"강남구","율현동",46750
"성동구","응봉동",45413.6363636363636363636363636363636364
"은평구","응암동",43714.0277777777777777777777777777777778
"동대문구","이문동",40150
"용산구","이촌동",73713.75
"용산구","이태원동",55907.5
"중구","인현동2가",29000
"강남구","일원동",66114.7058823529411764705882352941176471
"중구","입정동",44266.6666666666666666666666666666666667
"강남구","자곡동",58605.5
"광진구","자양동",57730
"송파구","잠실동",82776.6666666666666666666666666666666667
"서초구","잠원동",81395.956521739130434782608695652173913
"동대문구","장안동",37223.5294117647058823529411764705882353
"성북구","장위동",44022.2222222222222222222222222222222222
"송파구","장지동",55992.2272727272727272727272727272727273
"동대문구","전농동",48813.8888888888888888888888888888888889
"중구","정동",25000
"성북구","정릉동",38813.5416666666666666666666666666666667
"동대문구","제기동",41714.2857142857142857142857142857142857
"성북구","종암동",42120.8333333333333333333333333333333333
"노원구","중계동",35859.3617021276595744680851063829787234
"광진구","중곡동",24033.3333333333333333333333333333333333
"마포구","중동",42233.3333333333333333333333333333333333
"중구","중림동",62250
"중랑구","중화동",35666.6666666666666666666666666666666667
"은평구","증산동",42483.3333333333333333333333333333333333
"은평구","진관동",38403.9047619047619047619047619047619048
"도봉구","창동",30067.5675675675675675675675675675675676
"종로구","창신동",33042.8571428571428571428571428571428571
"마포구","창전동",64666.6666666666666666666666666666666667
"서대문구","창천동",15000
"서대문구","천연동",40325
"구로구","천왕동",24194.3333333333333333333333333333333333
"강동구","천호동",40509.4736842105263157894736842105263158
"강남구","청담동",83025
"동대문구","청량리동",30666.6666666666666666666666666666666667
"용산구","청암동",140000
"중구","충무로4가",26500
"중구","충무로5가",18500
"종로구","충신동",60000
"서대문구","충정로3가",34100
"마포구","토정동",60000
"종로구","평동",89350
"종로구","평창동",60000
"송파구","풍납동",51626.3157894736842105263157894736842105
"노원구","하계동",33633
"성동구","하왕십리동",60477.5
"성북구","하월곡동",39702.6666666666666666666666666666666667
"마포구","하중동",105750
"용산구","한강로2가",62000
"용산구","한강로3가",77500
"용산구","한남동",109330.7272727272727272727272727272727273
"마포구","합정동",65963.3333333333333333333333333333333333
