"SGG_NM","BJDONG_NM","AVG(RENT_FEE)"
"송파구","가락동",59.45714285714285714285714285714285714286
"구로구","가리봉동",50.75
"금천구","가산동",59.30769230769230769230769230769230769231
"강서구","가양동",9.25
"은평구","갈현동",53.22222222222222222222222222222222222222
"구로구","개봉동",52.16666666666666666666666666666666666667
"강남구","개포동",57.0625
"송파구","거여동",53.57142857142857142857142857142857142857
"강동구","고덕동",71
"구로구","고척동",34
"마포구","공덕동",30
"노원구","공릉동",39.23076923076923076923076923076923076923
"강서구","공항동",49.875
"광진구","광장동",250
"중구","광희동2가",72.5
"구로구","구로동",40.38461538461538461538461538461538461538
"은평구","구산동",47
"광진구","구의동",45.60606060606060606060606060606060606061
"광진구","군자동",45.4
"구로구","궁동",42.18181818181818181818181818181818181818
"성동구","금호동3가",58
"강동구","길동",45.18181818181818181818181818181818181818
"서대문구","남가좌동",55.66666666666666666666666666666666666667
"관악구","남현동",50.88888888888888888888888888888888888889
"강서구","내발산동",49.28571428571428571428571428571428571429
"마포구","노고산동",48
"동작구","노량진동",54.5
"은평구","녹번동",58.28571428571428571428571428571428571429
"강남구","논현동",109.075
"광진구","능동",64.25
"동대문구","답십리동",75
"영등포구","당산동",45
"영등포구","당산동1가",7.5
"영등포구","당산동3가",20
"영등포구","당산동6가",34.33333333333333333333333333333333333333
"영등포구","대림동",66.33333333333333333333333333333333333333
"동작구","대방동",51.625
"은평구","대조동",60.09090909090909090909090909090909090909
"강남구","대치동",68.85714285714285714285714285714285714286
"마포구","대흥동",42
"강남구","도곡동",44.66666666666666666666666666666666666667
"영등포구","도림동",2
"도봉구","도봉동",48.33333333333333333333333333333333333333
"성동구","도선동",12
"금천구","독산동",52.41463414634146341463414634146341463415
"마포구","동교동",75.33333333333333333333333333333333333333
"용산구","동빙고동",70
"성북구","동선동2가",68
"성북구","동선동3가",40
"성북구","동소문동6가",6
"종로구","동숭동",41.5
"강동구","둔촌동",52.5
"강서구","등촌동",49.66666666666666666666666666666666666667
"강서구","마곡동",98.33333333333333333333333333333333333333
"성동구","마장동",46.66666666666666666666666666666666666667
"송파구","마천동",33.125
"중구","만리동2가",3
"중랑구","망우동",47.55555555555555555555555555555555555556
"마포구","망원동",47.5
"중랑구","면목동",50.11764705882352941176470588235294117647
"종로구","명륜1가",88.33333333333333333333333333333333333333
"종로구","명륜2가",82
"종로구","명륜3가",42.5
"강동구","명일동",100
"양천구","목동",48.16666666666666666666666666666666666667
"중랑구","묵동",50.23076923076923076923076923076923076923
"송파구","문정동",40.42857142857142857142857142857142857143
"강북구","미아동",37.25
"서초구","반포동",75.08333333333333333333333333333333333333
"서초구","방배동",63.08771929824561403508771929824561403509
"송파구","방이동",55.83333333333333333333333333333333333333
"도봉구","방학동",41.5
"강서구","방화동",49.78571428571428571428571428571428571429
"강북구","번동",35
"동작구","본동",35
"관악구","봉천동",41.46153846153846153846153846153846153846
"서대문구","북가좌동",45.5
"서대문구","북아현동",85
"은평구","불광동",33.64
"성동구","사근동",10
"동작구","사당동",50.95652173913043478260869565217391304348
"종로구","사직동",52.5
"성북구","삼선동4가",80
"성북구","삼선동5가",47.5
"강남구","삼성동",87.73333333333333333333333333333333333333
"송파구","삼전동",42.6
"노원구","상계동",45.4
"동작구","상도1동",95.5
"동작구","상도동",49.29166666666666666666666666666666666667
"중랑구","상봉동",55.81818181818181818181818181818181818182
"마포구","상수동",66.33333333333333333333333333333333333333
"마포구","상암동",45
"성북구","상월곡동",60
"강동구","상일동",37
"용산구","서계동",115.833333333333333333333333333333333333
"마포구","서교동",47.53333333333333333333333333333333333333
"서초구","서초동",73.14285714285714285714285714285714285714
"성북구","석관동",48.33333333333333333333333333333333333333
"송파구","석촌동",52.77777777777777777777777777777777777778
"강동구","성내동",38.70833333333333333333333333333333333333
"성북구","성북동",56.25
"성북구","성북동1가",46
"마포구","성산동",43.57894736842105263157894736842105263158
"성동구","성수동1가",54.5
"성동구","성수동2가",67.5
"성동구","송정동",32
"송파구","송파동",55.25454545454545454545454545454545454545
"은평구","수색동",52.5
"강북구","수유동",57.04545454545454545454545454545454545455
"금천구","시흥동",46.47058823529411764705882352941176470588
"종로구","신교동",43
"영등포구","신길동",63.54545454545454545454545454545454545455
"중구","신당동",49.58333333333333333333333333333333333333
"동작구","신대방동",48.4
"관악구","신림동",50.4
"강남구","신사동",111.285714285714285714285714285714285714
"은평구","신사동",29.54545454545454545454545454545454545455
"동대문구","신설동",13
"마포구","신수동",40
"종로구","신영동",37
"양천구","신월동",42.78571428571428571428571428571428571429
"양천구","신정동",54.31578947368421052631578947368421052632
"용산구","신창동",29.33333333333333333333333333333333333333
"도봉구","쌍문동",38.5
"마포구","아현동",45
"성북구","안암동1가",37.33333333333333333333333333333333333333
"성북구","안암동4가",50
"성북구","안암동5가",55
"강동구","암사동",50.22222222222222222222222222222222222222
"서초구","양재동",56.03333333333333333333333333333333333333
