"SGG_NM","BJDONG_NM","AVG(OBJ_AMT)"
"송파구","가락동",29506
"구로구","가리봉동",24233.3333333333333333333333333333333333
"금천구","가산동",28133.3333333333333333333333333333333333
"강서구","가양동",29600
"은평구","갈현동",29641.1060606060606060606060606060606061
"구로구","개봉동",22269.2857142857142857142857142857142857
"강남구","개포동",51250
"송파구","거여동",28515.3846153846153846153846153846153846
"강동구","고덕동",46510
"구로구","고척동",23208.8235294117647058823529411764705882
"마포구","공덕동",59450
"노원구","공릉동",19608.8461538461538461538461538461538462
"강서구","공항동",26714.8148148148148148148148148148148148
"광진구","광장동",39500
"종로구","구기동",86466.6666666666666666666666666666666667
"구로구","구로동",35421.875
"은평구","구산동",28196.4705882352941176470588235294117647
"마포구","구수동",60000
"광진구","구의동",32735.2941176470588235294117647058823529
"광진구","군자동",29460
"구로구","궁동",23705.5555555555555555555555555555555556
"성동구","금호동1가",36000
"성동구","금호동2가",71800
"성동구","금호동3가",50833.3333333333333333333333333333333333
"성동구","금호동4가",21800
"강동구","길동",31342.1052631578947368421052631578947368
"성북구","길음동",40000
"서대문구","남가좌동",17088.8888888888888888888888888888888889
"관악구","남현동",44387.5
"강서구","내발산동",25893.4782608695652173913043478260869565
"마포구","노고산동",47500
"동작구","노량진동",62022.2222222222222222222222222222222222
"은평구","녹번동",30824.2857142857142857142857142857142857
"강남구","논현동",60980
"종로구","누상동",29500
"광진구","능동",50500
"동대문구","답십리동",37100
"영등포구","당산동",42000
"영등포구","당산동1가",35850
"영등포구","당산동3가",33200
"영등포구","당산동4가",31000
"영등포구","당산동6가",37580
"마포구","당인동",50150
"영등포구","대림동",36660.9090909090909090909090909090909091
"동작구","대방동",47890.9090909090909090909090909090909091
"은평구","대조동",28034
"강남구","대치동",43245
"마포구","대흥동",53333.3333333333333333333333333333333333
"강남구","도곡동",70000
"영등포구","도림동",46125
"도봉구","도봉동",18289.4444444444444444444444444444444444
"금천구","독산동",26867.4242424242424242424242424242424242
"성북구","돈암동",19566.6666666666666666666666666666666667
"마포구","동교동",97500
"용산구","동빙고동",149333.3333333333333333333333333333333333
"성북구","동선동3가",21000
"성북구","동선동4가",38000
"성북구","동선동5가",31000
"성북구","동소문동1가",32500
"성북구","동소문동4가",35166.6666666666666666666666666666666667
"종로구","동숭동",21025
"용산구","동자동",34000
"동작구","동작동",27000
"강동구","둔촌동",33750
"강서구","등촌동",29582.7586206896551724137931034482758621
"강서구","마곡동",61500
"성동구","마장동",46666.6666666666666666666666666666666667
"송파구","마천동",48364.7058823529411764705882352941176471
"중랑구","망우동",25712.5
"마포구","망원동",30146.6666666666666666666666666666666667
"중랑구","면목동",30068.9242424242424242424242424242424242
"종로구","명륜1가",27000
"종로구","명륜2가",43650
"종로구","명륜3가",8000
"강동구","명일동",34536.6666666666666666666666666666666667
"양천구","목동",26494.6875
"중랑구","묵동",33710.9756097560975609756097560975609756
"영등포구","문래동3가",31000
"송파구","문정동",30370
"강북구","미아동",23987.0847457627118644067796610169491525
"서초구","반포동",87858.3333333333333333333333333333333333
"서초구","방배동",81122.6756756756756756756756756756756757
"송파구","방이동",46000
"도봉구","방학동",17038.6153846153846153846153846153846154
"강서구","방화동",27450
"강북구","번동",18441.379310344827586206896551724137931
"용산구","보광동",161125
"성북구","보문동4가",35000
"성북구","보문동5가",12700
"성북구","보문동6가",32225
"관악구","봉천동",24894.25
"종로구","부암동",69133.3333333333333333333333333333333333
"서대문구","북가좌동",28235.8620689655172413793103448275862069
"서대문구","북아현동",77537.5
"은평구","불광동",34533.6734693877551020408163265306122449
"동작구","사당동",36012.9032258064516129032258064516129032
"성북구","삼선동1가",25200
"성북구","삼선동2가",41800
"성북구","삼선동3가",38563.6363636363636363636363636363636364
"성북구","삼선동5가",34000
"강남구","삼성동",73233.7142857142857142857142857142857143
"송파구","삼전동",32721.7543859649122807017543859649122807
"노원구","상계동",32173.9583333333333333333333333333333333
"동작구","상도1동",43220
"동작구","상도동",30782.6582278481012658227848101265822785
"중랑구","상봉동",28342.8571428571428571428571428571428571
"마포구","상수동",45062.5
"마포구","상암동",37000
"성북구","상월곡동",26533.3333333333333333333333333333333333
"강동구","상일동",39075
"용산구","서계동",55666.6666666666666666666666666666666667
"마포구","서교동",37817.6470588235294117647058823529411765
"용산구","서빙고동",42000
"서초구","서초동",67120.4
"성북구","석관동",25613.3333333333333333333333333333333333
"송파구","석촌동",37138.8888888888888888888888888888888889
