"SGG_NM","BJDONG_NM","AVG(OBJ_AMT)"
"송파구","가락동",14890
"구로구","가리봉동",30466.6666666666666666666666666666666667
"금천구","가산동",22872.5833333333333333333333333333333333
"강서구","가양동",13953.5714285714285714285714285714285714
"강동구","강일동",11370.625
"강남구","개포동",22683.3333333333333333333333333333333333
"송파구","거여동",18750
"종로구","견지동",30500
"종로구","경운동",27440
"강동구","고덕동",32550
"구로구","고척동",30000
"마포구","공덕동",21728.5714285714285714285714285714285714
"노원구","공릉동",10547.6666666666666666666666666666666667
"강서구","공항동",10085.7142857142857142857142857142857143
"광진구","광장동",28833.3333333333333333333333333333333333
"중구","광희동1가",19850
"종로구","교북동",32650
"구로구","구로동",18288.2978723404255319148936170212765957
"광진구","구의동",22270
"광진구","군자동",21183.3333333333333333333333333333333333
"성동구","금호동4가",19500
"강동구","길동",20858.2857142857142857142857142857142857
"종로구","낙원동",21100
"관악구","남현동",11500
"종로구","내수동",37936.3636363636363636363636363636363636
"마포구","노고산동",13895
"동작구","노량진동",20400
"은평구","녹번동",17800
"강남구","논현동",18933.3333333333333333333333333333333333
"광진구","능동",20000
"동대문구","답십리동",15866.9230769230769230769230769230769231
"영등포구","당산동",10500
"영등포구","당산동1가",34833.3333333333333333333333333333333333
"영등포구","당산동3가",17000
"영등포구","당산동4가",22950
"영등포구","당산동5가",20642.3076923076923076923076923076923077
"영등포구","당산동6가",36450
"영등포구","대림동",20637.25
"동작구","대방동",30000
"은평구","대조동",23575
"강남구","대치동",35410.625
"서대문구","대현동",19537.0714285714285714285714285714285714
"마포구","대흥동",25512.5
"강남구","도곡동",168277.7777777777777777777777777777777778
"영등포구","도림동",37075
"도봉구","도봉동",15636
"성동구","도선동",30683.8461538461538461538461538461538462
"마포구","도화동",34600
"금천구","독산동",21913
"마포구","동교동",23360
"성북구","동선동1가",9550
"성북구","동선동4가",12200
"성북구","동소문동6가",18500
"용산구","동자동",39300
"강서구","등촌동",19245.1612903225806451612903225806451613
"강서구","마곡동",19832.1694915254237288135593220338983051
"성동구","마장동",11000
"마포구","마포동",11500
"중랑구","망우동",16925
"중랑구","면목동",8233.333333333333333333333333333333333333
"강동구","명일동",26330
"양천구","목동",65552.6315789473684210526315789473684211
"영등포구","문래동5가",12000
"영등포구","문래동6가",35120
"용산구","문배동",32175
"송파구","문정동",30022.2222222222222222222222222222222222
"강북구","미아동",15342.5
"서초구","반포동",99627
"서초구","방배동",91250
"송파구","방이동",24134.6818181818181818181818181818181818
"도봉구","방학동",12500
"강서구","방화동",10492.1052631578947368421052631578947368
"강북구","번동",13450
"관악구","봉천동",18626.9375
"종로구","부암동",13750
"서대문구","북가좌동",10200
"서대문구","북아현동",29950
"은평구","불광동",24250
"종로구","사직동",37725
"강남구","삼성동",38551.8181818181818181818181818181818182
"송파구","삼전동",22000
"노원구","상계동",12650
"동작구","상도1동",24750
"동작구","상도동",12500
"중랑구","상봉동",25990
"마포구","상수동",15050
"마포구","상암동",15200
"성동구","상왕십리동",12700
"마포구","서교동",18600
"서초구","서초동",30721.875
"송파구","석촌동",25590
"마포구","성산동",19538.2272727272727272727272727272727273
"성동구","성수동1가",37600
"성동구","성수동2가",16183.3333333333333333333333333333333333
"강남구","세곡동",34625
"송파구","송파동",39250
"강남구","수서동",28320
"종로구","수송동",71400
"강북구","수유동",14183.3333333333333333333333333333333333
"종로구","숭인동",16554
"금천구","시흥동",24203.6666666666666666666666666666666667
"마포구","신공덕동",18633.3333333333333333333333333333333333
"영등포구","신길동",22643.75
"중랑구","신내동",14566.6666666666666666666666666666666667
"중구","신당동",18300
"동작구","신대방동",14600
"구로구","신도림동",29183.3333333333333333333333333333333333
"관악구","신림동",24678.5714285714285714285714285714285714
"종로구","신문로1가",59000
"종로구","신문로2가",122500
"은평구","신사동",26575
"동대문구","신설동",14000
"서초구","신원동",26600
"양천구","신월동",9900
"양천구","신정동",43969.7142857142857142857142857142857143
"송파구","신천동",464666.6666666666666666666666666666666667
"마포구","아현동",18955.5555555555555555555555555555555556
"강동구","암사동",13750
"서초구","양재동",18478.1818181818181818181818181818181818
"영등포구","양평동2가",15572.2222222222222222222222222222222222
"영등포구","양평동3가",46575
"영등포구","양평동4가",31700
"영등포구","양평동5가",26750
"영등포구","양평동6가",34397
"영등포구","여의도동",52577.3684210526315789473684210526315789
"강남구","역삼동",26651.0204081632653061224489795918367347
"은평구","역촌동",20250
"종로구","연지동",18450
"서대문구","연희동",38150
"마포구","염리동",29125
"강서구","염창동",27189.4736842105263157894736842105263158
"영등포구","영등포동",9500
"영등포구","영등포동1가",19350
"영등포구","영등포동2가",17257.1428571428571428571428571428571429
"영등포구","영등포동3가",19000
"영등포구","영등포동4가",20875
"영등포구","영등포동5가",30500
"영등포구","영등포동6가",12000
"영등포구","영등포동7가",18014.75
"영등포구","영등포동8가",10742.5
"송파구","오금동",25500
"구로구","오류동",16103.8461538461538461538461538461538462
"중구","오장동",18003
"성동구","옥수동",17500
"성동구","용답동",16519.25
"동대문구","용두동",15494.7368421052631578947368421052631579
"용산구","용산동5가",187500
"서초구","우면동",15512.5
"종로구","운니동",19000
"종로구","원남동",15300
"용산구","원효로1가",27800
"용산구","원효로3가",23800
"노원구","월계동",9350
"중구","을지로2가",42000
"중구","을지로3가",15200
"은평구","응암동",14583.3333333333333333333333333333333333
"중구","의주로1가",42900
"동대문구","이문동",22531.75
"종로구","익선동",13550
"종로구","인의동",42000
"강남구","자곡동",19177.2727272727272727272727272727272727
"광진구","자양동",57985.7142857142857142857142857142857143
"송파구","잠실동",24500
"서초구","잠원동",27900
"동대문구","장안동",36040.5957446808510638297872340425531915
"성북구","장위동",8000
"종로구","적선동",33350
"동대문구","전농동",17339.1666666666666666666666666666666667
"성북구","정릉동",19500
"동대문구","제기동",39700
"종로구","종로1가",23250
"종로구","종로5가",28000
"노원구","중계동",17450
"광진구","중곡동",15950
"중구","중림동",90000
"중랑구","중화동",10975
"은평구","진관동",12900
"도봉구","창동",20508.4444444444444444444444444444444444
"서대문구","창천동",18857.1428571428571428571428571428571429
"구로구","천왕동",10700
"강동구","천호동",23243.1111111111111111111111111111111111
"강남구","청담동",24166.6666666666666666666666666666666667
"동대문구","청량리동",29510
"중구","충무로2가",28317.2608695652173913043478260869565217
