자치구,다세대주택매매가,다세대주택전세,다세대주택월세보증금,다세대주택월세
강남구,99.9%,91.8%,99.0%,95.2%
강동구,45.7%,71.7%,58.9%,32.5%
강북구,17.0%,14.2%,42.7%,20.3%
강서구,28.1%,25.4%,14.1%,72.7%
관악구,35.1%,46.9%,81.4%,32.7%
광진구,47.8%,91.5%,70.0%,61.5%
구로구,32.0%,6.9%,7.8%,14.2%
금천구,23.8%,22.7%,43.9%,37.3%
노원구,22.2%,63.7%,12.3%,16.0%
도봉구,14.8%,18.9%,13.3%,23.4%
동대문구,36.2%,17.5%,61.1%,23.1%
동작구,64.1%,41.4%,80.2%,34.5%
마포구,49.2%,34.7%,27.6%,44.6%
서대문구,33.1%,17.5%,27.8%,52.3%
서초구,94.1%,99.7%,86.5%,85.5%
성동구,88.6%,93.8%,90.4%,99.8%
성북구,34.0%,18.2%,15.7%,47.0%
송파구,46.8%,58.1%,71.2%,27.4%
양천구,18.6%,21.9%,19.6%,26.7%
영등포구,35.6%,64.9%,94.4%,16.0%
용산구,98.6%,80.8%,60.4%,99.1%
은평구,36.2%,72.7%,13.5%,33.9%
종로구,54.4%,23.4%,28.1%,70.7%
중구,46.4%,32.5%,14.7%,50.7%
중랑구,28.0%,57.4%,83.6%,27.8%
