자치구,오피스텔매매가,오피스텔전세,오피스텔월세보증금,오피스텔월세
강남구,99.7%,59.6%,90.0%,100.0%
강동구,32.2%,14.3%,16.9%,29.1%
강북구,9.0%,2.1%,12.5%,51.6%
강서구,23.8%,36.7%,47.8%,20.0%
관악구,17.5%,15.2%,59.4%,11.6%
광진구,35.4%,94.3%,64.6%,52.5%
구로구,52.4%,40.8%,60.4%,16.8%
금천구,61.2%,51.0%,65.3%,14.3%
노원구,9.0%,56.8%,5.3%,26.4%
도봉구,24.4%,20.5%,17.4%,26.7%
동대문구,20.1%,43.7%,20.5%,41.5%
동작구,28.9%,38.4%,59.7%,25.5%
마포구,42.7%,23.3%,39.2%,33.2%
서대문구,39.5%,11.4%,18.6%,59.7%
서초구,97.5%,48.9%,33.8%,72.3%
성동구,31.2%,29.8%,23.8%,60.1%
성북구,35.6%,47.1%,54.1%,30.9%
송파구,89.2%,64.6%,77.7%,45.9%
양천구,81.3%,90.6%,99.9%,67.1%
영등포구,83.0%,78.0%,97.2%,45.9%
용산구,92.5%,82.9%,34.7%,77.5%
은평구,25.7%,47.5%,32.0%,25.6%
종로구,48.7%,99.9%,43.9%,79.8%
중구,65.7%,64.8%,54.9%,59.3%
중랑구,24.0%,39.7%,48.4%,88.7%
