자치구,행정동,인구전입량,청년1인가구인구수,아파트월세보증금,아파트월세,다세대주택월세보증금,다세대주택보증금,오피스텔월세보증금,오피스텔월세,아파트매매가,오피스텔매매가,다세대주택매매가,아파트전세,다세대주택전세,오피스텔전세,응급실수,대형마트수,주요공원수,지하철역수
송파구,가락동,1633,1599,15793.17456,38.29925187,8627.313725,57.03921569,5166.666667,42.66666667,92739.51308,16495.18273,31478.11614,68057.9863,16480.87368,5166.666667,1,2,0,5
구로구,가리봉동,934,194,,,7028.571429,42.42857143,1000,60,36556,21340.47291,23695.47506,,10643.33333,9112.5,0,0,0,0
금천구,가산동,4218,1540,5403.5,39.45833333,8302.352941,51.17647059,3099.193548,50.9516129,31481.84721,23561.43811,22441.58696,29833.33333,12942.22222,11263.76923,0,5,0,3
은평구,갈현동,1053,1109,1500,45,5519.230769,57.15384615,,,34098.90121,14300.80952,23501.15568,30816.66667,14372.92683,,2,1,0,2
강동구,강일동,332,300,5866.669725,23.33944954,,,541.6666667,52.25,65862.74874,12295.88776,,20323.83902,,2583.533333,0,0,0,1
구로구,개봉동,1186,991,20077.5625,58.6875,5099.388889,58.25,1750,56,48353.35699,20352.74895,23042.75281,35959.59259,11148.94521,1750,0,3,1,1
송파구,거여동,683,322,6192.651786,36.53571429,6300,60.5,1000,28,65656.11089,20388.33898,32130.80585,35825.33333,15868,15666.66667,0,2,0,1
강동구,고덕동,429,211,24084.25532,111.1702128,3994.444444,70.66666667,1000,58,93468.33704,26397.5,35677.48292,58373.47414,17059.25926,1000,0,1,1,1
구로구,고척동,1583,474,14141.05263,71,2895.75,26.5,3666.666667,40.66666667,45444.67903,31301.53285,21528.67336,31174.46809,8597.733333,8500,1,8,1,0
노원구,공릉동,3574,2748,7623.122449,54.04081633,5195.238095,45.57142857,,,41607.46256,11767.28019,22694.15314,30703.73134,8773.176471,10250,1,3,1,4
강서구,공항동,1705,2277,8836.314815,49.11111111,4634.594595,51.59459459,1966.666667,37.78571429,46470.93008,11591.7598,24641.45325,36635.23107,13091.50943,4863.425926,1,1,2,9
광진구,광장동,253,124,25906.25,115.9375,9333.333333,124,,,101689.9141,22379.14123,48723.56704,58510.89231,44076.92308,45000,0,1,1,1
중구,광희동,477,309,8100,78.1,1000,72.5,1000,65,26421.79545,15615.97154,28430,28333.33333,15250,1000,0,0,0,2
종로구,교남동,172,225,30363.76923,111.8461538,6447.333333,47,1000,110,123343.5059,36728.94737,23027.78261,80566.1,7240.571429,24833.33333,2,0,0,1
구로구,구로동,6323,2475,9441.373134,64.14925373,4080,39.95,5388.888889,46.55555556,40303.8456,16919.10676,25435.53451,33218.09353,9709.52381,10190.11628,1,12,0,5
은평구,구산동,647,475,6240,44.2,3941.666667,45.25,3000,110,40826.82195,18300,21914.11259,34428.57143,11503.84615,13750,0,1,1,1
광진구,구의동,2916,1786,15938.88889,112.1666667,10184.62963,49.24074074,3511.764706,61.47058824,81778.43195,20438.92647,29246.4259,59577.45098,17897.15447,11473.33333,0,9,0,2
광진구,군자동,1513,569,,,8444.444444,57.22222222,6000,68.5,69212.21498,23269.11111,27756.54017,70000,18033,13970,0,1,0,0
성동구,금호동,829,669,21109.97563,178.8810916,11250,51.5,1000,45,89856.1811,14925.30364,36350.81723,64191.921,13600,1000,0,3,2,2
강동구,길동,1640,1632,9434.514286,43.85714286,7640.444444,43.61111111,3604.166667,64.75,43511.53407,17011.48104,30013.5293,33584.31818,15069.52778,10944.23077,1,4,1,1
성북구,길음동,,,18500.5,73.05,1000,85,1000,65,57234.86572,35458.52941,25874.12117,,9500,20500,0,5,0,1
서대문구,남가좌동,1107,919,12801.33333,108.3333333,4625,46,,,74688.28267,33255.71429,21532.99337,48728,7916.666667,,0,5,0,1
용산구,남영동,390,112,70000,228.75,500,45,2333.333333,87.66666667,119884.8485,33641.02793,55526.1194,,17500,6775,0,1,0,5
관악구,남현동,1562,701,19500,58.25,11957.625,53.5625,4300,37.33333333,58102.2027,16593.62539,34669.75938,39166.66667,17114.88,4828.571429,0,1,0,0
서초구,내곡동,279,428,17751.625,99.625,,,3166.666667,85.66666667,109517.3056,21918.64706,82478.57143,64018.24138,47166.66667,9760,0,0,2,1
동작구,노량진동,4198,1166,15338.79167,108.625,571.4285714,55.42857143,2142.857143,61.71428571,71658.3286,21696.435,52098.78122,46003.96825,2833.333333,15269.79167,0,1,2,3
